timestamp,condition,duration_seconds,frame_count,no_face_frames,multi_face_frames,single_face_frames,aligned_frames,misaligned_frames,low_light_frames,blur_frames,too_far_frames,too_close_frames,accepted_normal_frames,accessory_frames,brightness_mean,brightness_min,brightness_max,sharpness_mean,sharpness_min,sharpness_max,face_width_ratio_mean,face_width_ratio_min,face_width_ratio_max,detector_counts,state_counts
2026-05-14T20:01:45,real_mask_glasses,12.4,334,13,0,321,321,0,21,0,0,0,122,199,77.90,47.44,115.08,556.32,159.73,1018.83,0.234,0.212,0.281,HOG=69; No face=13; YUNET=252,glasses=32; mask_glasses=167; normal=122
2026-05-14T20:02:08,real_mask_glasses,12.4,271,59,0,212,212,0,0,0,0,0,212,0,102.74,91.94,113.25,402.18,212.24,562.86,0.249,0.216,0.297,HOG=27; No face=59; YUNET=185,normal=212
2026-05-14T20:03:33,real_mask_glasses,12.4,342,20,0,322,322,0,0,0,0,0,322,0,83.13,71.56,100.18,376.96,65.27,665.68,0.217,0.191,0.272,HOG=2; No face=20; YUNET=320,normal=322
2026-05-14T20:03:53,real_mask_glasses,12.5,294,46,0,248,248,0,0,0,0,0,95,153,96.05,80.14,110.20,687.25,413.52,1018.97,0.207,0.188,0.278,HOG=37; No face=46; YUNET=211,mask_glasses=153; normal=95
2026-05-14T20:04:13,real_mask_glasses,12.5,358,4,0,354,354,0,0,0,0,0,351,3,84.41,62.76,97.07,316.93,47.55,681.53,0.219,0.188,0.250,HOG=5; No face=4; YUNET=349,glasses=2; mask_glasses=1; normal=351
2026-05-14T20:05:52,unspecified,12.5,336,31,0,305,305,0,0,0,0,0,80,225,101.61,80.15,139.32,539.12,151.03,1132.93,0.228,0.178,0.278,HOG=23; No face=31; YUNET=282,mask=19; mask_glasses=206; normal=80
2026-05-14T20:06:13,unspecified,12.5,307,32,0,275,275,0,0,0,0,0,18,257,89.92,67.10,125.59,524.34,42.70,955.83,0.234,0.212,0.281,HOG=44; No face=32; YUNET=231,mask=62; mask_glasses=195; normal=18
2026-05-14T20:08:03,unspecified,12.5,287,96,0,191,191,0,0,0,0,0,127,64,103.47,89.50,121.74,529.83,101.79,983.53,0.250,0.212,0.278,HOG=29; No face=96; YUNET=162,mask=2; mask_glasses=62; normal=127
2026-05-14T20:13:58,unspecified,12.5,295,68,0,227,227,0,0,0,0,0,170,57,99.30,69.02,126.62,467.56,72.14,812.51,0.249,0.212,0.338,HOG=72; No face=68; YUNET=155,mask=54; mask_glasses=3; normal=170
2026-05-14T20:14:27,unspecified,12.4,335,27,0,308,308,0,0,0,0,0,136,172,88.33,67.82,119.84,524.72,167.95,946.93,0.249,0.212,0.338,HOG=94; No face=27; YUNET=214,mask=3; mask_glasses=169; normal=136
